run_id,final_sharing_rate,final_superego,final_anxiety,final_temple_wealth
73,0.81,99.48833333333334,0.009787046888959587,241.36635865028234
74,0.0,0.0,0.6835620395167197,44.188064743876566
75,1.0,99.2,0.0035622681192240867,145.26333634757322
76,0.86,99.56869841269841,0.007494153033187135,233.0684085772873
77,1.0,99.7,0.004121415926751256,144.30039546566564
78,0.95,99.69733333333333,0.006555077594016245,593.7417585047376
79,0.96,99.69633333333333,0.006166698721384509,560.8558210597632
80,0.92,99.62669841269843,0.005908521368214629,268.3471006269178
81,0.0,0.237,0.2444532481245048,105.07454508095181
82,1.0,2.218,0.26726575637000105,154.75314773092168
83,0.96,99.7,0.0030378,355.4285940770806
84,1.0,99.2,0.004066770114440935,121.46264035693805
85,1.0,2.5890000000000004,0.1343333580622048,154.59504746110363
86,0.95,99.69333333333334,0.006739777716736178,282.5009781119187
87,0.94,99.69366666666667,0.006772155076455006,424.91561077581537
88,1.0,3.4697745510344395,0.10113828494353742,151.77443608117056
89,1.0,99.2,0.003709669827004844,133.08901116961343
90,0.99,99.7,0.0019335377365121628,483.4585979087107
91,1.0,5.354000000000001,0.20390890980054696,163.76009071264863
92,0.95,99.68533333333333,0.00571406598419309,344.77368997088837
93,1.0,99.7,0.001371854101643224,124.66490108150387
94,0.97,99.6754761904762,0.005382599202117333,287.9059659978183
95,0.98,99.65977777777778,0.0045116784313668605,249.70130520334124
96,1.0,99.2,0.0032337284758345,156.1997569444977
97,0.95,99.69333333333334,0.004156837208323358,507.9008173391177
98,1.0,99.19388888888889,0.001715216034887866,133.17583836071813
99,1.0,99.35916053577778,0.004458372797819974,146.0355873220697
